time,ax,ay,az,aMagnitude,Activity
82,-0.027310669,-0.008057117,-0.013159752,0.031368278,NO_ACTIVITY
83,-0.030341446,-0.025589228,0.006354332,0.040196884,NO_ACTIVITY
84,-0.012761772,-0.010358572,0.033926964,0.037698829,NO_ACTIVITY
85,-0.043497235,0.024778605,-0.003828049,0.050206002,NO_ACTIVITY
86,-0.029160291,-0.015915632,0.006882668,0.033926406,NO_ACTIVITY
87,-0.015047997,-0.002821684,-0.00624752,0.016535889,NO_ACTIVITY
88,-0.024691492,0.001825333,0.004478455,0.025160648,NO_ACTIVITY
89,-0.036754936,0.025517702,0.00682354,0.045261895,NO_ACTIVITY
90,-0.049786866,0.01211071,-0.000377655,0.051240062,NO_ACTIVITY
91,-0.017496079,0.013200045,0.005574226,0.022614729,NO_ACTIVITY
92,0.004940748,0.025017262,-0.000388145,0.025503432,NO_ACTIVITY
93,0.029691607,-0.019300938,0.001960754,0.035467764,NO_ACTIVITY
94,0.020899802,-0.022602797,-0.036031723,0.0473917,NO_ACTIVITY
95,0.026337951,0.001407623,-0.051141739,0.057542563,NO_ACTIVITY
96,-0.010188311,-0.012624741,-0.003175735,0.016530912,NO_ACTIVITY
97,0.021234959,-0.006855726,-0.037630081,0.043748686,NO_ACTIVITY
98,0.055835158,0.011159182,-0.039478302,0.069286568,NO_ACTIVITY
99,0.068381727,-0.017246246,-0.047416687,0.084981385,NO_ACTIVITY
100,0.039292365,-0.01337409,-0.008974075,0.042465166,NO_ACTIVITY
101,0.048419714,-0.005889177,0.003037453,0.048871026,NO_ACTIVITY
102,0.055259079,0.001456738,0.004234314,0.055440214,NO_ACTIVITY
103,0.027476698,0.028909206,0.031551361,0.05085469,NO_ACTIVITY
104,0.038069725,-0.008052826,0.01705265,0.042484643,NO_ACTIVITY
105,0.02501139,0.008633852,0.018081665,0.032047772,NO_ACTIVITY
106,0.039255112,0.048911572,0.052359581,0.081699641,NO_ACTIVITY
107,0.005991876,0.023451567,0.02812767,0.037108549,NO_ACTIVITY
108,-0.002195984,0.013567924,-0.019668579,0.023995081,NO_ACTIVITY
109,0.0481067,-0.01154089,-0.021861076,0.054086536,NO_ACTIVITY
110,-0.008883357,0.009609222,0.000412941,0.013092811,NO_ACTIVITY
111,-0.02784723,-0.017212152,-0.054655075,0.063709526,NO_ACTIVITY
112,0.000459671,-0.023438692,-0.020463943,0.031118428,NO_ACTIVITY
113,0.017823935,-0.006988049,0.010697365,0.021930779,NO_ACTIVITY
114,0.007498235,-0.018979549,0.011786461,0.023566236,NO_ACTIVITY
115,-0.014507651,0.007143736,0.004549026,0.016798766,NO_ACTIVITY
116,-0.023468941,-0.013561487,0.003252983,0.027299946,NO_ACTIVITY
117,0.006664932,-0.010289907,0.009115219,0.015277131,NO_ACTIVITY
118,0.027063578,-0.011819124,-0.027837753,0.040584104,NO_ACTIVITY
119,0.011766553,-0.012205839,0.00201416,0.017073111,NO_ACTIVITY
120,0.028766513,-0.006644487,-0.037277222,0.047552631,NO_ACTIVITY
121,-0.004027635,0.012039423,-0.052472115,0.053986039,NO_ACTIVITY
